bug.id,revision.id.buggy,revision.id.fixed,report.id,report.url
41,ac7a751ad4bfc056371a867590c2c33bc6ef9af2,218b5e7b7d76654004f4122c674308f78c87954e,TEMP-32,https://issues.apache.org/jira/browse
42,302c9d1ae9d44c677fc9f35cd9b3bfe2fe77bf08,31cc89e03b20ebb066e581f0491b87e80259805f,TEMP-748,https://issues.apache.org/jira/browse
43,3d1980bc6dce0fd80ccceb9cef807ac36d799de4,e7b0b9231cd815ef4907f65c43e676fd83ed38d5,TEMP-17,https://issues.apache.org/jira/browse
44,a873e46f90891bc7963133be8eac94107e5cfbb6,d42b9286eb7a534f1b2b6243858ff7ef6fcac14c,TEMP-727,https://issues.apache.org/jira/browse
45,1e01f7eb64a57cfd56dd9183ddca63a34b6925af,a1fd31d3350350b54dcf4b6e35bcd19c0b2527d7,TEMP-269,https://issues.apache.org/jira/browse
46,947b0743568a3973cf05f25ecb3a1ec53406e102,41dc1a22d6964cb7d6c04c833930b39555bdde6b,TEMP-744,https://issues.apache.org/jira/browse
47,9f68c1f22ed9f9b7abb5f70349154d4557298404,cf139a3d1eae1ce5eb72222e530f4f18108c7eb0,TEMP-744,https://issues.apache.org/jira/browse
48,96e3df8a44d2c6baa0de90560cfef5aafba6b176,89675b658065bb3460993e6995a3d1b88f08f545,TEMP-744,https://issues.apache.org/jira/browse
49,38b7b491d9403fa70e851253b30f9e9af27fe77f,95248e3798a4fa4091f735cee9e540770e057cd7,TEMP-5,https://issues.apache.org/jira/browse
50,9268f576df22c596d1b5082cbd3abfb78eef78b5,3ff59a713a300675c19173f37f45ede331ab48f8,TEMP-5,https://issues.apache.org/jira/browse
51,b785d75506cf29863a1b333a99aa914ca4d6af4b,5abe7b15f8ad26c5eed2123a8716e55cf5d81d72,TEMP-5,https://issues.apache.org/jira/browse
52,a2a8172f383da63a8681689ed165699ea88dc5e2,b785d75506cf29863a1b333a99aa914ca4d6af4b,TEMP-5,https://issues.apache.org/jira/browse
53,407032ceefc5c90d851d14a8c5fd0548b1f57ab5,5a0096d9b8f25b271a6abe717f57693235272d7b,TEMP-741,https://issues.apache.org/jira/browse
54,807b46a1360255283cc3370a8c1d2751936ad1ed,d6ca8197ce8a3c7b5947ca4ac50a474995d66d76,TEMP-2,https://issues.apache.org/jira/browse
55,b8690c086d18f38d86a06080422674d317e33f71,5c1a230684e583d8058807caf9265c5cfa821080,TEMP-724,https://issues.apache.org/jira/browse
56,414e597e01e02ef1714fc0f8524eea8c836f315f,498cd03984bd0cd191a38ecfc03c46520df83f6b,TEMP-243,https://issues.apache.org/jira/browse
57,c21b875569fb7f696df17803d062dd4602e5287d,47f2593789aa72701afce199c60b70eec58c4a91,TEMP-585,https://issues.apache.org/jira/browse
58,a41080e1284ecc2ebb967852c5cd13be5660be7b,91bd06a73ce3b404b58948e011b3fcff342b8ca3,TEMP-733,https://issues.apache.org/jira/browse
59,3f989cca0632d5c4091d5ff8a29646ce811a8f4a,7e0d317ac61427e6004372622df4014c1e602487,TEMP-429,https://issues.apache.org/jira/browse
60,4b7cc53f1e806d2bd232482a6b060e685509f53f,8a681ea4bc91b3f58e44042d4e6eb23d996e0d76,TEMP-227,https://issues.apache.org/jira/browse
61,f5de47f2fda3bb8a3fd2daf06b431282f40e3fa8,fe7543eee5cd4b2f9e78aa44c31031b68eba204d,TEMP-556,https://issues.apache.org/jira/browse
62,65868e5d7674e7a0a5769c8aed1d26a6e98a7ed1,ea7ccc5ce9a089b75d512c7c511473bd27be2a79,TEMP-718,https://issues.apache.org/jira/browse
63,7a7b1418528a05e4633955205d4fffca451b8c4a,9f0074839bac413e75c943b2619d9a07b45bad1a,TEMP-201,https://issues.apache.org/jira/browse
64,8a3915b9464db71b0dffbae15e2d619e65cf31af,98e23e025b39debe065646531d557152b006ba6f,TEMP-568,https://issues.apache.org/jira/browse
65,f7b886324d4d49396d322673bfbc4eba959a3161,b4d80a81558da0dc75cc2a93e629686b88c738cb,TEMP-705,https://issues.apache.org/jira/browse
66,02a3abae93b67aba82156976ab9ac99b83e5a5dd,9009ede38b2d30be7b9cebdaca47649a1ead5528,TEMP-190,https://issues.apache.org/jira/browse
67,536fdf0d32d541f4257f429b98bc769aa76d4263,5f9239e0452a1b5803e584419732661848ddc469,TEMP-690,https://issues.apache.org/jira/browse
68,b1a84b203fd73b591e4431ea7854caf592d2bd74,9eaab5c0a07e33cfe475fe6cbd1b5bbf77cca44d,TEMP-702,https://issues.apache.org/jira/browse
69,2c33998f0a56d04656506e80f959e3c1a7cf4ee0,b1a84b203fd73b591e4431ea7854caf592d2bd74,TEMP-702,https://issues.apache.org/jira/browse
70,b0b891c75f83dd011f4ac872933c635422bf0b54,8588c9c162c12ce6ac2654f80d3bd3bdae8ae351,TEMP-701,https://issues.apache.org/jira/browse
