num of topics,bug id,num of files that changed,num of files that changed no tests,first index exist files,max index exist files,num of files checked exist files,all indexes,first index exist files no tests,max index exist files no tests,num of files checked exist files no tests,all indexes no tests,average similarity
80,JXPATH-94,2,1,10,16,208,"[16, 10]",14,14,163,[14],0.374
80,JXPATH-93,5,4,123,191,209,"[123, 124, 125, 126, 191]",106,109,164,"[106, 107, 108, 109]",0.001
80,JXPATH-95,2,1,3,4,209,"[4, 3]",2,2,164,[2],0.06
80,JXPATH-95,4,3,3,180,209,"[12, 175, 180, 3]",10,143,164,"[10, 138, 143]",0.012666666666666666
80,JXPATH-93,2,1,132,191,209,"[132, 191]",115,115,164,[115],0.001
80,JXPATH-97,3,2,2,13,210,"[5, 13, 2]",4,11,165,"[4, 11]",0.5974999999999999
80,JXPATH-97,3,2,0,57,211,"[0, 1, 57]",0,1,165,"[0, 1]",0.846
80,JXPATH-97,6,5,0,23,211,"[3, 5, 0, 13, 1, 23]",0,11,165,"[2, 4, 0, 11, 1]",0.7352000000000001
80,JXPATH-102,2,1,2,4,212,"[2, 4]",0,0,165,[0],0.465
80,JXPATH-100,2,1,100,168,212,"[100, 168]",94,94,165,[94],0.508
80,JXPATH-114,3,2,0,2,214,"[0, 1, 2]",0,1,165,"[0, 1]",0.868
80,JXPATH-109,4,2,99,163,214,"[120, 99, 154, 163]",77,96,165,"[96, 77]",0.149
80,JXPATH-115,2,1,119,153,214,"[119, 153]",93,93,165,[93],0.123
80,JXPATH-149,1,1,189,189,222,[189],145,145,168,[145],0.01
80,JXPATH-151,3,2,58,167,223,"[87, 58, 167]",39,63,168,"[63, 39]",0.025500000000000002
100,JXPATH-12,4,2,0,13,201,"[2, 0, 10, 13]",0,1,159,"[1, 0]",0.7384999999999999
100,JXPATH-50,2,1,1,8,201,"[8, 1]",4,4,159,[4],0.414
100,JXPATH-68,1,1,6,6,203,[6],6,6,160,[6],0.759
100,JXPATH-83,3,2,148,201,205,"[148, 150, 201]",134,136,161,"[134, 136]",0.004
100,JXPATH-89,2,1,28,57,206,"[57, 28]",23,23,161,[23],0.019
100,JXPATH-94,2,1,11,18,208,"[11, 18]",10,10,163,[10],0.066
100,JXPATH-93,5,4,131,159,209,"[140, 142, 159, 157, 131]",121,140,164,"[121, 123, 140, 138]",0.0615
100,JXPATH-95,2,1,0,1,209,"[1, 0]",0,0,164,[0],0.251
100,JXPATH-95,4,3,0,9,209,"[2, 8, 9, 0]",1,7,164,"[1, 6, 7]",0.08466666666666667
100,JXPATH-93,2,1,131,136,209,"[136, 131]",118,118,164,[118],0.111
100,JXPATH-97,3,2,2,72,210,"[36, 72, 2]",35,62,165,"[35, 62]",0.1785
100,JXPATH-97,3,2,1,62,211,"[2, 1, 62]",0,1,165,"[1, 0]",0.6935
100,JXPATH-97,6,5,1,68,211,"[3, 38, 2, 68, 1, 66]",0,54,165,"[2, 33, 1, 54, 0]",0.4774
100,JXPATH-102,2,1,116,147,212,"[147, 116]",118,118,165,[118],0.001
100,JXPATH-100,2,1,82,116,212,"[116, 82]",100,100,165,[100],0.003
100,JXPATH-114,3,2,74,103,214,"[92, 74, 103]",62,75,165,"[75, 62]",0.0595
100,JXPATH-109,4,2,83,175,214,"[163, 83, 167, 175]",73,128,165,"[128, 73]",0.1915
100,JXPATH-115,2,1,19,56,214,"[19, 56]",16,16,165,[16],0.241
100,JXPATH-149,1,1,115,115,222,[115],86,86,168,[86],0.01
100,JXPATH-151,3,2,74,208,223,"[155, 74, 208]",58,125,168,"[125, 58]",0.0025
120,JXPATH-12,4,2,1,199,201,"[2, 1, 14, 199]",0,1,159,"[1, 0]",0.7105
120,JXPATH-50,2,1,25,47,201,"[47, 25]",39,39,159,[39],0.042
120,JXPATH-68,1,1,2,2,203,[2],2,2,160,[2],0.565
120,JXPATH-83,3,2,71,198,205,"[112, 71, 198]",67,101,161,"[101, 67]",0.20299999999999999
120,JXPATH-89,2,1,12,81,206,"[12, 81]",12,12,161,[12],0.779
120,JXPATH-94,2,1,31,33,208,"[31, 33]",28,28,163,[28],0.044
120,JXPATH-93,5,4,45,88,209,"[85, 86, 87, 88, 45]",66,69,164,"[66, 67, 68, 69]",0.028
120,JXPATH-95,2,1,0,1,209,"[0, 1]",0,0,164,[0],0.201
120,JXPATH-95,4,3,1,5,209,"[3, 4, 5, 1]",2,4,164,"[2, 3, 4]",0.066
120,JXPATH-93,2,1,36,48,209,"[48, 36]",38,38,164,[38],0.069
120,JXPATH-97,3,2,0,34,210,"[33, 34, 0]",28,29,165,"[28, 29]",0.1145
120,JXPATH-97,3,2,1,12,211,"[3, 1, 12]",0,2,165,"[2, 0]",0.6445000000000001
120,JXPATH-97,6,5,1,35,211,"[2, 33, 3, 35, 1, 34]",0,29,165,"[1, 28, 2, 29, 0]",0.4311999999999999
120,JXPATH-102,2,1,0,1,212,"[0, 1]",0,0,165,[0],0.356
120,JXPATH-100,2,1,84,205,212,"[84, 205]",80,80,165,[80],0.31
120,JXPATH-114,3,2,172,188,214,"[188, 172, 179]",138,147,165,"[147, 138]",0.061
120,JXPATH-109,4,2,122,171,214,"[127, 122, 151, 171]",96,100,165,"[100, 96]",0.188
120,JXPATH-115,2,1,55,207,214,"[55, 207]",45,45,165,[45],0.013
120,JXPATH-149,1,1,67,67,222,[67],57,57,168,[57],0.01
120,JXPATH-151,3,2,27,193,223,"[143, 27, 193]",15,113,168,"[113, 15]",0.049
140,JXPATH-12,4,2,1,18,201,"[1, 2, 7, 18]",0,1,159,"[0, 1]",0.6585000000000001
140,JXPATH-50,2,1,32,73,201,"[73, 32]",62,62,159,[62],0.013
140,JXPATH-68,1,1,3,3,203,[3],3,3,160,[3],0.656
140,JXPATH-83,3,2,56,189,205,"[56, 104, 189]",44,92,161,"[44, 92]",0.031
140,JXPATH-89,2,1,2,107,206,"[2, 107]",2,2,161,[2],0.327
140,JXPATH-94,2,1,72,73,208,"[72, 73]",66,66,163,[66],0.204
140,JXPATH-93,5,4,95,116,209,"[95, 96, 97, 98, 116]",93,96,164,"[93, 94, 95, 96]",0.149
140,JXPATH-95,2,1,3,161,209,"[3, 161]",1,1,164,[1],0.08
140,JXPATH-95,4,3,118,161,209,"[118, 119, 120, 161]",102,104,164,"[102, 103, 104]",0.005
