num of topics,bug id,num of files that changed,num of files that changed no tests,first index exist files,max index exist files,num of files checked exist files,all indexes,first index exist files no tests,max index exist files no tests,num of files checked exist files no tests,all indexes no tests,average similarity
40,CLI-224,4,3,9,137,147,"[100, 137, 107, 9]",35,62,68,"[35, 62, 40]",0.058666666666666666
40,CLI-230,2,2,31,75,147,"[31, 75]",12,37,68,"[12, 37]",0.10250000000000001
40,CLI-224,1,1,0,0,147,[0],0,0,68,[0],0.553
40,CLI-224,4,3,0,119,147,"[0, 8, 99, 119]",0,43,68,"[0, 8, 43]",0.4346666666666667
40,CLI-220,1,1,24,24,146,[24],12,12,67,[12],0.321
40,CLI-5,9,9,3,22,146,"[9, 22, 17, 14, 10, 18, 3, 4, 5]",3,20,67,"[9, 20, 17, 14, 10, 18, 3, 4, 5]",0.784
40,CLI-215,6,4,0,121,146,"[1, 24, 36, 23, 0, 121]",0,15,67,"[0, 9, 15, 8]",0.165
40,CLI-209,1,1,2,2,146,[2],2,2,67,[2],0.989
40,CLI-208,1,1,2,2,146,[2],2,2,67,[2],0.858
40,CLI-207,2,1,4,23,146,"[4, 23]",2,2,67,[2],0.447
40,CLI-193,2,1,14,20,146,"[14, 20]",14,14,67,[14],0.885
40,CLI-205,4,3,3,32,146,"[32, 3, 22, 9]",3,21,67,"[21, 3, 16]",0.3183333333333333
40,CLI-186,1,1,29,29,146,[29],14,14,67,[14],0.087
40,CLI-203,4,2,2,67,146,"[67, 2, 25, 26]",2,34,67,"[34, 2]",0.4145
40,CLI-202,3,2,5,47,146,"[47, 5, 28]",5,28,67,"[28, 5]",0.38
40,CLI-2,0,0,146,-1,146,[],-1,-1,67,[],0
40,CLI-2,0,0,146,-1,146,[],-1,-1,67,[],0
40,CLI-2,2,1,16,39,146,"[16, 39]",16,16,67,[16],0.579
40,CLI-201,2,1,1,5,146,"[1, 5]",0,0,67,[0],0.768
40,CLI-200,1,1,4,4,146,[4],4,4,67,[4],0.614
40,CLI-182,3,2,4,102,144,"[4, 42, 102]",1,20,66,"[1, 20]",0.07050000000000001
40,CLI-177,2,1,0,9,144,"[0, 9]",0,0,65,[0],0.704
40,CLI-175,1,0,10,10,144,[10],-1,-1,65,[],0
40,CLI-162,2,1,1,2,144,"[2, 1]",0,0,65,[0],0.632
40,CLI-162,2,1,1,2,144,"[2, 1]",0,0,65,[0],0.632
40,CLI-162,1,0,1,1,144,[1],-1,-1,65,[],0
40,CLI-162,1,1,2,2,144,[2],0,0,65,[0],0.631
40,CLI-165,2,1,4,40,144,"[40, 4]",20,20,66,[20],0.109
40,CLI-164,2,1,4,48,144,"[48, 4]",21,21,66,[21],0.123
