project,technique,precision,recall,wasted,bug id,original score percentage,f-score,expense,t-score,cost,exam-score,bug index,changed files,changed functions
Net,360_sigmuid,0.08185782158323705,0.08185782158323705,4.0,566,0.2,0.08185782158323705,80.0,80.0,0.8,80.0,70,1,3
Net,380_sigmuid,0.07395039241434113,0.07395039241434113,3.0,566,0.2,0.07395039241434113,60.0,60.0,0.6,60.0,70,1,3
Net,400_sigmuid,0.14719188031738034,0.14719188031738034,1.0,566,0.2,0.14719188031738034,20.0,20.0,0.2,20.0,70,1,3
Net,420_sigmuid,0.053159282717134486,0.053159282717134486,4.0,566,0.2,0.053159282717134486,80.0,80.0,0.8,80.0,70,1,3
Net,440_sigmuid,0.0,0.0,5,566,0.2,0,100,100,1.0,100,70,1,3
Net,460_sigmuid,0.16966105337261583,0.16966105337261583,1.0,566,0.2,0.16966105337261583,20.0,20.0,0.2,20.0,70,1,3
Net,480_sigmuid,0.07912686757257904,0.07912686757257904,2.0,566,0.2,0.07912686757257904,40.0,40.0,0.4,40.0,70,1,3
Net,500_sigmuid,0.2034719061524888,0.2034719061524888,1.0,566,0.2,0.2034719061524888,20.0,20.0,0.2,20.0,70,1,3
Net,520_sigmuid,0.11274973110146322,0.11274973110146322,1.0,566,0.2,0.11274973110146322,20.0,20.0,0.2,20.0,70,1,3
Net,540_sigmuid,0.1178410743087176,0.1178410743087176,1.0,566,0.2,0.1178410743087176,20.0,20.0,0.2,20.0,70,1,3
Net,560_sigmuid,0.07834093478138421,0.07834093478138421,2.0,566,0.2,0.07834093478138421,40.0,40.0,0.4,40.0,70,1,3
Net,580_sigmuid,0.10694554076363864,0.10694554076363864,2.0,566,0.2,0.10694554076363864,40.0,40.0,0.4,40.0,70,1,3
Net,600_sigmuid,0.0,0.0,5,566,0.2,0,100,100,1.0,100,70,1,3
Net,20_sigmuid,0.061456578466701904,0.061456578466701904,0.0,631,0.2,0.061456578466701904,0.0,0.0,0.0,0.0,33,1,1
Net,40_sigmuid,0.0,0.0,5,631,0.2,0,100,100,1.0,100,33,1,1
Net,60_sigmuid,0.0,0.0,5,631,0.2,0,100,100,1.0,100,33,1,1
Net,80_sigmuid,0.0,0.0,5,631,0.2,0,100,100,1.0,100,33,1,1
Net,100_sigmuid,0.0,0.0,5,631,0.2,0,100,100,1.0,100,33,1,1
Net,120_sigmuid,0.0,0.0,5,631,0.2,0,100,100,1.0,100,33,1,1
Net,140_sigmuid,0.0,0.0,5,631,0.2,0,100,100,1.0,100,33,1,1
Net,160_sigmuid,0.0,0.0,5,631,0.2,0,100,100,1.0,100,33,1,1
Net,180_sigmuid,0.0,0.0,5,631,0.2,0,100,100,1.0,100,33,1,1
Net,200_sigmuid,0.0,0.0,5,631,0.2,0,100,100,1.0,100,33,1,1
Net,220_sigmuid,0.0,0.0,5,631,0.2,0,100,100,1.0,100,33,1,1
Net,240_sigmuid,0.0,0.0,5,631,0.2,0,100,100,1.0,100,33,1,1
Net,260_sigmuid,0.0,0.0,5,631,0.2,0,100,100,1.0,100,33,1,1
Net,280_sigmuid,0.051723294653482604,0.051723294653482604,2.0,631,0.2,0.051723294653482604,40.0,40.0,0.4,40.0,33,1,1
Net,300_sigmuid,0.0,0.0,5,631,0.2,0,100,100,1.0,100,33,1,1
Net,320_sigmuid,0.0,0.0,5,631,0.2,0,100,100,1.0,100,33,1,1
Net,340_sigmuid,0.0,0.0,5,631,0.2,0,100,100,1.0,100,33,1,1
Net,360_sigmuid,0.0,0.0,5,631,0.2,0,100,100,1.0,100,33,1,1
Net,380_sigmuid,0.0,0.0,5,631,0.2,0,100,100,1.0,100,33,1,1
Net,400_sigmuid,0.0,0.0,5,631,0.2,0,100,100,1.0,100,33,1,1
Net,420_sigmuid,0.0397211917969337,0.0397211917969337,3.0,631,0.2,0.0397211917969337,60.0,60.0,0.6,60.0,33,1,1
Net,440_sigmuid,0.0,0.0,5,631,0.2,0,100,100,1.0,100,33,1,1
Net,460_sigmuid,0.0,0.0,5,631,0.2,0,100,100,1.0,100,33,1,1
Net,480_sigmuid,0.04321395624281633,0.04321395624281633,4.0,631,0.2,0.04321395624281633,80.0,80.0,0.8,80.0,33,1,1
Net,500_sigmuid,0.0,0.0,5,631,0.2,0,100,100,1.0,100,33,1,1
Net,520_sigmuid,0.0,0.0,5,631,0.2,0,100,100,1.0,100,33,1,1
Net,540_sigmuid,0.03661229804060895,0.03661229804060895,4.0,631,0.2,0.03661229804060895,80.0,80.0,0.8,80.0,33,1,1
Net,560_sigmuid,0.0,0.0,5,631,0.2,0,100,100,1.0,100,33,1,1
Net,580_sigmuid,0.0,0.0,5,631,0.2,0,100,100,1.0,100,33,1,1
Net,600_sigmuid,0.0,0.0,5,631,0.2,0,100,100,1.0,100,33,1,1
Net,20_sigmuid,0.6873127858880961,0.6873127858880961,0.0,551,0.2,0.6873127858880961,0.0,0.0,0.0,0.0,78,1,1
Net,40_sigmuid,0.8216569350705847,0.8216569350705847,0.0,551,0.2,0.8216569350705847,0.0,0.0,0.0,0.0,78,1,1
Net,60_sigmuid,0.4112694249168278,0.4112694249168278,0.0,551,0.2,0.41126942491682783,0.0,0.0,0.0,0.0,78,1,1
Net,80_sigmuid,0.4912703865105595,0.4912703865105595,0.0,551,0.2,0.4912703865105595,0.0,0.0,0.0,0.0,78,1,1
Net,100_sigmuid,0.48253014689322327,0.48253014689322327,0.0,551,0.2,0.48253014689322327,0.0,0.0,0.0,0.0,78,1,1
Net,120_sigmuid,0.5310814407221467,0.5310814407221467,0.0,551,0.2,0.5310814407221467,0.0,0.0,0.0,0.0,78,1,1
Net,140_sigmuid,0.5144181087240854,0.5144181087240854,0.0,551,0.2,0.5144181087240854,0.0,0.0,0.0,0.0,78,1,1
Net,160_sigmuid,0.5274498056109405,0.5274498056109405,0.0,551,0.2,0.5274498056109405,0.0,0.0,0.0,0.0,78,1,1
Net,180_sigmuid,0.6126148637307223,0.6126148637307223,0.0,551,0.2,0.6126148637307223,0.0,0.0,0.0,0.0,78,1,1
