method,project,MAP,MRR,TOP-K,average similarity,,,,,,,,,,,,,,,,
580_Topics,Compress,0.105887492,0.325811145,0.153437693,0.32186988,,,,,,,,,,,,,,,,
600_Topics,Compress,0.110378643,0.355366592,0.154341014,0.34847086,,,,,,,,,,,,,,,,
BRTracer,Compress,0.025679891,0.094451639,0.513435624,0.12919259,,,,,,,,,,,,,,,,
20_Topics,Csv,0.206944444,0.635714286,0.145211931,0.915785714,,,,,,,,,,,,,,,,
40_Topics,Csv,0.262698413,0.791666667,0.069466248,0.962928571,,,,,,,,,,,,,,,,
60_Topics,Csv,0.233560091,0.676870748,0.093175732,0.863642857,,,,,,,,,,,,,,,,
80_Topics,Csv,0.243282313,0.711989796,0.153061224,0.783785714,,,,,,,,,,,,,,,,
100_Topics,Csv,0.25,0.75,0.093014129,0.780357143,,,,,,,,,,,,,,,,
120_Topics,Csv,0.248015873,0.738095238,0.085164835,0.884571429,,,,,,,,,,,,,,,,
140_Topics,Csv,0.25,0.755952381,0.095761381,0.699964286,,,,,,,,,,,,,,,,
160_Topics,Csv,0.216269841,0.648809524,0.090659341,0.807785714,,,,,,,,,,,,,,,,
180_Topics,Csv,0.25,0.726190476,0.058869702,0.890714286,,,,,,,,,,,,,,,,
200_Topics,Csv,0.24484127,0.716666667,0.085949765,0.757214286,,,,,,,,,,,,,,,,
220_Topics,Csv,0.253968254,0.761904762,0.059262166,0.82375,,,,,,,,,,,,,,,,
240_Topics,Csv,0.270634921,0.776190476,0.064364207,0.59175,,,,,,,,,,,,,,,,
260_Topics,Csv,0.261904762,0.779761905,0.061386093,0.717142857,,,,,,,,,,,,,,,,
280_Topics,Csv,0.259920635,0.75,0.064756672,0.865214286,,,,,,,,,,,,,,,,
300_Topics,Csv,0.238095238,0.702380952,0.10321821,0.635107143,,,,,,,,,,,,,,,,
320_Topics,Csv,0.259920635,0.803571429,0.059654631,0.849035714,,,,,,,,,,,,,,,,
340_Topics,Csv,0.25,0.730952381,0.096546311,0.815392857,,,,,,,,,,,,,,,,
360_Topics,Csv,0.244047619,0.732142857,0.070643642,0.841428571,,,,,,,,,,,,,,,,
380_Topics,Csv,0.251984127,0.738095238,0.064756672,0.773142857,,,,,,,,,,,,,,,,
400_Topics,Csv,0.246428571,0.742857143,0.102825746,0.826321429,,,,,,,,,,,,,,,,
420_Topics,Csv,0.271825397,0.821428571,0.058084772,0.77025,,,,,,,,,,,,,,,,
440_Topics,Csv,0.257936508,0.738095238,0.064756672,0.867035714,,,,,,,,,,,,,,,,
460_Topics,Csv,0.283730159,0.81547619,0.052590267,0.701928571,,,,,,,,,,,,,,,,
480_Topics,Csv,0.248015873,0.720238095,0.090659341,0.702857143,,,,,,,,,,,,,,,,
500_Topics,Csv,0.251984127,0.738095238,0.091836735,0.64925,,,,,,,,,,,,,,,,
520_Topics,Csv,0.199404762,0.601190476,0.089366516,0.934964286,,,,,,,,,,,,,,,,
540_Topics,Csv,0.226984127,0.663095238,0.117346939,0.735428571,,,,,,,,,,,,,,,,
560_Topics,Csv,0.231179138,0.707142857,0.135007849,0.740821429,,,,,,,,,,,,,,,,
580_Topics,Csv,0.293650794,0.875,0.043171115,0.691357143,,,,,,,,,,,,,,,,
600_Topics,Csv,0.251984127,0.744047619,0.070251177,0.753571429,,,,,,,,,,,,,,,,
BRTracer,Io,0.055463492,0.172107837,0.414238261,0.227736273,,,,,,,,,,,,,,,,
BugLocator,Io,0.063618453,0.196086134,0.430802879,0.231752265,,,,,,,,,,,,,,,,
20_Topics,Io,0.077001816,0.239747667,0.264694108,0.588121346,,,,,,,,,,,,,,,,
40_Topics,Io,0.125795833,0.381254591,0.221039935,0.505369179,,,,,,,,,,,,,,,,
60_Topics,Io,0.141644412,0.440979935,0.227296496,0.478825591,,,,,,,,,,,,,,,,
80_Topics,Io,0.123616435,0.387628112,0.231682166,0.414216279,,,,,,,,,,,,,,,,
100_Topics,Io,0.142793023,0.439075797,0.205545362,0.398783434,,,,,,,,,,,,,,,,
120_Topics,Io,0.15561655,0.476723846,0.192881957,0.451736239,,,,,,,,,,,,,,,,
140_Topics,Io,0.159379648,0.493186317,0.214437353,0.350437899,,,,,,,,,,,,,,,,
160_Topics,Io,0.150934687,0.464850826,0.191899277,0.364664439,,,,,,,,,,,,,,,,
180_Topics,Io,0.142351504,0.43634367,0.193705651,0.346637139,,,,,,,,,,,,,,,,
200_Topics,Io,0.146097975,0.455274121,0.198853476,0.389634814,,,,,,,,,,,,,,,,
220_Topics,Io,0.165760604,0.515263699,0.190899137,0.426280362,,,,,,,,,,,,,,,,
240_Topics,Io,0.160164803,0.494121907,0.168127188,0.3821204,,,,,,,,,,,,,,,,
260_Topics,Io,0.150770811,0.454107716,0.219560683,0.403511663,,,,,,,,,,,,,,,,
280_Topics,Io,0.127867724,0.387682782,0.205697061,0.320611048,,,,,,,,,,,,,,,,
300_Topics,Io,0.153415478,0.461448742,0.19114063,0.339766301,,,,,,,,,,,,,,,,
320_Topics,Io,0.154249545,0.473981298,0.219584748,0.389867619,,,,,,,,,,,,,,,,
340_Topics,Io,0.148636549,0.458177423,0.168849264,0.325560507,,,,,,,,,,,,,,,,
360_Topics,Io,0.162428864,0.511461335,0.217281327,0.379553158,,,,,,,,,,,,,,,,
380_Topics,Io,0.165592939,0.498867468,0.188774466,0.337492999,,,,,,,,,,,,,,,,
400_Topics,Io,0.160937367,0.499212241,0.199572147,0.333713754,,,,,,,,,,,,,,,,
420_Topics,Io,0.164296848,0.498597668,0.204920482,0.369034182,,,,,,,,,,,,,,,,
440_Topics,Io,0.158881939,0.481223065,0.194441875,0.333622154,,,,,,,,,,,,,,,,
460_Topics,Io,0.150280558,0.467105493,0.191778504,0.35721142,,,,,,,,,,,,,,,,
480_Topics,Io,0.160586029,0.494513084,0.229563877,0.363244908,,,,,,,,,,,,,,,,
500_Topics,Io,0.155275896,0.478925676,0.206209071,0.34651366,,,,,,,,,,,,,,,,
520_Topics,Io,0.130970805,0.409117968,0.207136041,0.219079224,,,,,,,,,,,,,,,,
540_Topics,Io,0.149493687,0.449896435,0.182483566,0.321445088,,,,,,,,,,,,,,,,
560_Topics,Io,0.173945286,0.524903587,0.183796994,0.364352862,,,,,,,,,,,,,,,,
580_Topics,Io,0.168484829,0.513472315,0.195548045,0.359997672,,,,,,,,,,,,,,,,
600_Topics,Io,0.163133027,0.507125384,0.181161929,0.325757313,,,,,,,,,,,,,,,,
20_Topics,JxPath,0.051244129,0.136343914,0.390288632,0.428341667,,,,,,,,,,,,,,,,
40_Topics,JxPath,0.113043926,0.281524016,0.325698807,0.348623333,,,,,,,,,,,,,,,,
60_Topics,JxPath,0.045823488,0.129784864,0.315348919,0.331785,,,,,,,,,,,,,,,,
80_Topics,JxPath,0.10795265,0.319061976,0.342159992,0.378418333,,,,,,,,,,,,,,,,
100_Topics,JxPath,0.095158515,0.258108799,0.367362784,0.218328333,,,,,,,,,,,,,,,,
120_Topics,JxPath,0.111830936,0.301207863,0.272231534,0.244235,,,,,,,,,,,,,,,,
140_Topics,JxPath,0.092519085,0.274645521,0.30081434,0.251545,,,,,,,,,,,,,,,,
160_Topics,JxPath,0.080194011,0.231352591,0.291677006,0.192991667,,,,,,,,,,,,,,,,
180_Topics,JxPath,0.119056048,0.319922672,0.328868636,0.215223333,,,,,,,,,,,,,,,,
200_Topics,JxPath,0.069502634,0.230074043,0.372616597,0.221665,,,,,,,,,,,,,,,,
220_Topics,JxPath,0.087840648,0.270317702,0.243212849,0.196128333,,,,,,,,,,,,,,,,
240_Topics,JxPath,0.088192619,0.305632836,0.238493236,0.193241667,,,,,,,,,,,,,,,,
260_Topics,JxPath,0.092903319,0.262343452,0.374174278,0.168918333,,,,,,,,,,,,,,,,
280_Topics,JxPath,0.095346426,0.282235673,0.32529938,0.209695833,,,,,,,,,,,,,,,,
300_Topics,JxPath,0.075106938,0.238639242,0.315223347,0.182961667,,,,,,,,,,,,,,,,
320_Topics,JxPath,0.086309934,0.271317077,0.277435078,0.14963,,,,,,,,,,,,,,,,
340_Topics,JxPath,0.054965551,0.144013472,0.293299993,0.1441,,,,,,,,,,,,,,,,
360_Topics,JxPath,0.101023458,0.294868331,0.277393935,0.159995,,,,,,,,,,,,,,,,
380_Topics,JxPath,0.055438333,0.153057367,0.267388953,0.1711075,,,,,,,,,,,,,,,,
400_Topics,JxPath,0.073555459,0.24686705,0.26332691,0.151713333,,,,,,,,,,,,,,,,
420_Topics,JxPath,0.075068915,0.210114505,0.355414033,0.160511667,,,,,,,,,,,,,,,,
440_Topics,JxPath,0.101445289,0.273306885,0.282578115,0.139371667,,,,,,,,,,,,,,,,
460_Topics,JxPath,0.073607011,0.261477257,0.267842934,0.161656667,,,,,,,,,,,,,,,,
480_Topics,JxPath,0.070922364,0.213565017,0.354881218,0.159683333,,,,,,,,,,,,,,,,
500_Topics,JxPath,0.087700474,0.273914972,0.262445048,0.142154167,,,,,,,,,,,,,,,,
520_Topics,JxPath,0.099511833,0.260096319,0.344846143,0.18277,,,,,,,,,,,,,,,,
540_Topics,JxPath,0.084263534,0.253301382,0.333309084,0.157503333,,,,,,,,,,,,,,,,
560_Topics,JxPath,0.081923171,0.224201057,0.267325479,0.188464167,,,,,,,,,,,,,,,,
580_Topics,JxPath,0.093863539,0.309165616,0.26747062,0.138381667,,,,,,,,,,,,,,,,
600_Topics,JxPath,0.059426633,0.14116965,0.278962204,0.14795,,,,,,,,,,,,,,,,
20_Topics,Lang,0.206944444,0.635714286,0.145211931,0.915785714,,,,,,,,,,,,,,,,
40_Topics,Lang,0.262698413,0.791666667,0.069466248,0.962928571,,,,,,,,,,,,,,,,
60_Topics,Lang,0.233560091,0.676870748,0.093175732,0.863642857,,,,,,,,,,,,,,,,
80_Topics,Lang,0.243282313,0.711989796,0.153061224,0.783785714,,,,,,,,,,,,,,,,
100_Topics,Lang,0.25,0.75,0.093014129,0.780357143,,,,,,,,,,,,,,,,
120_Topics,Lang,0.248015873,0.738095238,0.085164835,0.884571429,,,,,,,,,,,,,,,,
140_Topics,Lang,0.25,0.755952381,0.095761381,0.699964286,,,,,,,,,,,,,,,,
160_Topics,Lang,0.216269841,0.648809524,0.090659341,0.807785714,,,,,,,,,,,,,,,,
