method,project,MAP,MRR,TOP-K,average similarity,,,,,,,,,,,,,,,,
520_Topics,Net,0.109136243,0.346959573,0.13088409,0.32668937,,,,,,,,,,,,,,,,
540_Topics,Net,0.120747344,0.379699572,0.139222122,0.355868946,,,,,,,,,,,,,,,,
560_Topics,Net,0.106067155,0.328180017,0.154690398,0.317870235,,,,,,,,,,,,,,,,
580_Topics,Net,0.105887492,0.325811145,0.153437693,0.32186988,,,,,,,,,,,,,,,,
600_Topics,Net,0.110378643,0.355366592,0.154341014,0.34847086,,,,,,,,,,,,,,,,
BRTracer,Net,0.025679891,0.094451639,0.513435624,0.12919259,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,MAP,MRR,,,,,,,,,,,,,,,,,,
,20_Topics,0.272372823,0.407308676,,,,,,,,,,,,,,,,,MAP,MRR
,40_Topics,0.324899361,0.471556893,,,,,,,,,,,,,,,,20-100 topics,0.326975132,0.474334424
,60_Topics,0.326784405,0.463197017,,,,,,,,,,,,,,,,120-200 topics,0.356189897,0.519855942
,80_Topics,0.363429774,0.525400324,,,,,,,,,,,,,,,,220-300 topics,0.373686588,0.544993348
,100_Topics,0.347389298,0.504209212,,,,,,,,,,,,,,,,320-400 topics,0.367813795,0.538885173
,120_Topics,0.371373524,0.543901473,,,,,,,,,,,,,,,,420-500 topics,0.37885402,0.550235454
,140_Topics,0.374697986,0.552498156,,,,,,,,,,,,,,,,520-600 topics,0.372582152,0.542720799
,160_Topics,0.33051386,0.487303861,,,,,,,,,,,,,,,,BugLocator,0.269522067,0.445657185
,180_Topics,0.356491478,0.510083459,,,,,,,,,,,,,,,,BRTracer,0.248443434,0.409916479
,200_Topics,0.347872638,0.50549276,,,,,,,,,,,,,,,,,,
,220_Topics,0.394580823,0.582256851,,,,,,,,,,,,,,,,,,
,240_Topics,0.380574671,0.554765037,,,,,,,,,,,,,,,,,,
,260_Topics,0.38108,0.551612788,,,,,,,,,,,,,,,,,,
,280_Topics,0.352143167,0.509612171,,,,,,,,,,,,,,,,,,
,300_Topics,0.360054281,0.526719893,,,,,,,,,,,,,,,,,,
,320_Topics,0.394646688,0.583638446,,,,,,,,,,,,,,,,,,
,340_Topics,0.363319393,0.523546039,,,,,,,,,,,,,,,,,,
,360_Topics,0.362343003,0.532367468,,,,,,,,,,,,,,,,,,
,380_Topics,0.357737034,0.516702187,,,,,,,,,,,,,,,,,,
,400_Topics,0.361022855,0.538171726,,,,,,,,,,,,,,,,,,
,420_Topics,0.383104181,0.562185393,,,,,,,,,,,,,,,,,,
,440_Topics,0.400560399,0.5697577,,,,,,,,,,,,,,,,,,
,460_Topics,0.383190198,0.558727064,,,,,,,,,,,,,,,,,,
,480_Topics,0.362113378,0.525422481,,,,,,,,,,,,,,,,,,
,500_Topics,0.365301942,0.535084633,,,,,,,,,,,,,,,,,,
,520_Topics,0.348482595,0.508423623,,,,,,,,,,,,,,,,,,
,540_Topics,0.3644134,0.527120185,,,,,,,,,,,,,,,,,,
,560_Topics,0.368797783,0.535985161,,,,,,,,,,,,,,,,,,
,580_Topics,0.401894124,0.587476172,,,,,,,,,,,,,,,,,,
,600_Topics,0.37932286,0.554598853,,,,,,,,,,,,,,,,,,
,BugLocator,0.269522067,0.445657185,,,,,,,,,,,,,,,,,,
,BRTracer,0.248443434,0.409916479,,,,,,,,,,,,,,,,,,
