project,technique,precision,recall,wasted,bug id,original score percentage,f-score,expense,t-score,cost,exam-score,bug index,changed files,changed functions,ranked name MRR,ranked name avg similarity
Cli,400_sigmuid,0,0,5,33,0.2,0,100,100,1,100,5,1,1,ranked 11,ranked 22
Cli,420_sigmuid,0.102264743,0.102264743,1,33,0.2,0.102264743,20,20,0.2,20,5,1,1,ranked 18,ranked 21
Cli,440_sigmuid,0.083049274,0.083049274,1,33,0.2,0.083049274,20,20,0.2,20,5,1,1,ranked 22,ranked 17
Cli,460_sigmuid,0.108736804,0.108736804,1,33,0.2,0.108736804,20,20,0.2,20,5,1,1,ranked 20,ranked 13
Cli,480_sigmuid,0.056488573,0.056488573,4,33,0.2,0.056488573,80,80,0.8,80,5,1,1,ranked 3,ranked 27
Cli,500_sigmuid,0,0,5,33,0.2,0,100,100,1,100,5,1,1,ranked 4,ranked 28
Cli,520_sigmuid,0,0,5,33,0.2,0,100,100,1,100,5,1,1,ranked 19,ranked 12
Cli,540_sigmuid,0.089743605,0.089743605,1,33,0.2,0.089743605,20,20,0.2,20,5,1,1,ranked 6,ranked 30
Cli,560_sigmuid,0,0,5,33,0.2,0,100,100,1,100,5,1,1,ranked 28,ranked 25
Cli,580_sigmuid,0.058270424,0.058270424,2,33,0.2,0.058270424,40,40,0.4,40,5,1,1,ranked 16,ranked 26
Cli,600_sigmuid,0,0,5,33,0.2,0,100,100,1,100,5,1,1,ranked 29,ranked 16
Cli,20_sigmuid,0.045894574,0.045894574,0,203,0.2,0.045894574,0,0,0,0,35,2,2,ranked 12,ranked 1
Cli,40_sigmuid,0.062816059,0.062816059,0,203,0.2,0.062816059,0,0,0,0,35,2,2,ranked 5,ranked 2
Cli,60_sigmuid,0.05973296,0.05973296,3,203,0.2,0.05973296,60,60,0.6,60,35,2,2,ranked 2,ranked 9
Cli,80_sigmuid,0,0,5,203,0.2,0,100,100,1,100,35,2,2,ranked 1,ranked 6
Cli,100_sigmuid,0.055986129,0.055986129,1,203,0.2,0.055986129,20,20,0.2,20,35,2,2,ranked 7,ranked 4
Cli,120_sigmuid,0,0,5,203,0.2,0,100,100,1,100,35,2,2,ranked 26,ranked 3
Cli,140_sigmuid,0.027988806,0.027988806,2,203,0.2,0.027988806,40,40,0.4,40,35,2,2,ranked 27,ranked 20
Cli,160_sigmuid,0.035049314,0.035049314,3,203,0.2,0.035049314,60,60,0.6,60,35,2,2,ranked 21,ranked 7
Cli,180_sigmuid,0.043111251,0.043111251,3,203,0.2,0.043111251,60,60,0.6,60,35,2,2,ranked 9,ranked 14
Cli,200_sigmuid,0.060731077,0.060731077,4,203,0.2,0.060731077,80,80,0.8,80,35,2,2,ranked 13,ranked 5
Cli,220_sigmuid,0,0,5,203,0.2,0,100,100,1,100,35,2,2,ranked 30,ranked 8
Cli,240_sigmuid,0.063777176,0.063777176,3,203,0.2,0.063777176,60,60,0.6,60,35,2,2,ranked 24,ranked 11
Cli,260_sigmuid,0.031744207,0.031744207,4,203,0.2,0.031744207,80,80,0.8,80,35,2,2,ranked 23,ranked 10
Cli,280_sigmuid,0,0,5,203,0.2,0,100,100,1,100,35,2,2,ranked 14,ranked 23
Cli,300_sigmuid,0.028820387,0.028820387,4,203,0.2,0.028820387,80,80,0.8,80,35,2,2,ranked 15,ranked 15
Cli,320_sigmuid,0.044571352,0.044571352,4,203,0.2,0.044571352,80,80,0.8,80,35,2,2,ranked 8,ranked 19
Cli,340_sigmuid,0,0,5,203,0.2,0,100,100,1,100,35,2,2,ranked 10,ranked 29
Cli,360_sigmuid,0.034963332,0.034963332,2,203,0.2,0.034963332,40,40,0.4,40,35,2,2,ranked 25,ranked 18
Cli,380_sigmuid,0.029637207,0.029637207,2,203,0.2,0.029637207,40,40,0.4,40,35,2,2,ranked 17,ranked 24
Cli,400_sigmuid,0,0,5,203,0.2,0,100,100,1,100,35,2,2,ranked 11,ranked 22
Cli,420_sigmuid,0,0,5,203,0.2,0,100,100,1,100,35,2,2,ranked 18,ranked 21
Cli,440_sigmuid,0,0,5,203,0.2,0,100,100,1,100,35,2,2,ranked 22,ranked 17
Cli,460_sigmuid,0.037894043,0.037894043,2,203,0.2,0.037894043,40,40,0.4,40,35,2,2,ranked 20,ranked 13
Cli,480_sigmuid,0,0,5,203,0.2,0,100,100,1,100,35,2,2,ranked 3,ranked 27
Cli,500_sigmuid,0,0,5,203,0.2,0,100,100,1,100,35,2,2,ranked 4,ranked 28
Cli,520_sigmuid,0.073929708,0.073929708,2,203,0.2,0.073929708,40,40,0.4,40,35,2,2,ranked 19,ranked 12
Cli,540_sigmuid,0,0,5,203,0.2,0,100,100,1,100,35,2,2,ranked 6,ranked 30
Cli,560_sigmuid,0,0,5,203,0.2,0,100,100,1,100,35,2,2,ranked 28,ranked 25
Cli,580_sigmuid,0,0,5,203,0.2,0,100,100,1,100,35,2,2,ranked 16,ranked 26
Cli,600_sigmuid,0,0,5,203,0.2,0,100,100,1,100,35,2,2,ranked 29,ranked 16
Cli,20_sigmuid,0,0,5,265,0.2,0,100,100,1,100,14,1,1,ranked 12,ranked 1
Cli,40_sigmuid,0,0,5,265,0.2,0,100,100,1,100,14,1,1,ranked 5,ranked 2
Cli,60_sigmuid,0,0,5,265,0.2,0,100,100,1,100,14,1,1,ranked 2,ranked 9
Cli,80_sigmuid,0,0,5,265,0.2,0,100,100,1,100,14,1,1,ranked 1,ranked 6
Cli,100_sigmuid,0,0,5,265,0.2,0,100,100,1,100,14,1,1,ranked 7,ranked 4
Cli,120_sigmuid,0.03161657,0.03161657,4,265,0.2,0.03161657,80,80,0.8,80,14,1,1,ranked 26,ranked 3
Cli,140_sigmuid,0,0,5,265,0.2,0,100,100,1,100,14,1,1,ranked 27,ranked 20
Cli,160_sigmuid,0,0,5,265,0.2,0,100,100,1,100,14,1,1,ranked 21,ranked 7
Cli,180_sigmuid,0,0,5,265,0.2,0,100,100,1,100,14,1,1,ranked 9,ranked 14
Cli,200_sigmuid,0,0,5,265,0.2,0,100,100,1,100,14,1,1,ranked 13,ranked 5
Cli,220_sigmuid,0,0,5,265,0.2,0,100,100,1,100,14,1,1,ranked 30,ranked 8
Cli,240_sigmuid,0,0,5,265,0.2,0,100,100,1,100,14,1,1,ranked 24,ranked 11
Cli,260_sigmuid,0,0,5,265,0.2,0,100,100,1,100,14,1,1,ranked 23,ranked 10
Cli,280_sigmuid,0,0,5,265,0.2,0,100,100,1,100,14,1,1,ranked 14,ranked 23
Cli,300_sigmuid,0,0,5,265,0.2,0,100,100,1,100,14,1,1,ranked 15,ranked 15
Cli,320_sigmuid,0,0,5,265,0.2,0,100,100,1,100,14,1,1,ranked 8,ranked 19
Cli,340_sigmuid,0,0,5,265,0.2,0,100,100,1,100,14,1,1,ranked 10,ranked 29
Cli,360_sigmuid,0,0,5,265,0.2,0,100,100,1,100,14,1,1,ranked 25,ranked 18
Cli,380_sigmuid,0,0,5,265,0.2,0,100,100,1,100,14,1,1,ranked 17,ranked 24
