project,technique,precision,recall,wasted,bug id,original score percentage,f-score,expense,t-score,cost,exam-score,bug index,changed files,changed functions,ranked name MRR,ranked name avg similarity
Compress,240_sigmuid,0.143228275,0.143228275,3,444,0.2,0.143228275,60,60,0.6,60,135,1,1,ranked 12,ranked 21
Compress,260_sigmuid,0.164529489,0.164529489,3,444,0.2,0.164529489,60,60,0.6,60,135,1,1,ranked 17,ranked 18
Compress,280_sigmuid,0.127633373,0.127633373,3,444,0.2,0.127633373,60,60,0.6,60,135,1,1,ranked 8,ranked 15
Compress,300_sigmuid,0.256122591,0.256122591,1,444,0.2,0.256122591,20,20,0.2,20,135,1,1,ranked 18,ranked 13
Compress,320_sigmuid,0.019777841,0.019777841,3,444,0.2,0.019777841,60,60,0.6,60,135,1,1,ranked 30,ranked 9
Compress,340_sigmuid,0.197279798,0.197279798,1,444,0.2,0.197279798,20,20,0.2,20,135,1,1,ranked 25,ranked 20
Compress,360_sigmuid,0.083635566,0.083635566,3,444,0.2,0.083635566,60,60,0.6,60,135,1,1,ranked 4,ranked 27
Compress,380_sigmuid,0.115271137,0.115271137,3,444,0.2,0.115271137,60,60,0.6,60,135,1,1,ranked 7,ranked 22
Compress,400_sigmuid,0.051738393,0.051738393,4,444,0.2,0.051738393,80,80,0.8,80,135,1,1,ranked 16,ranked 30
Compress,420_sigmuid,0.166256711,0.166256711,2,444,0.2,0.166256711,40,40,0.4,40,135,1,1,ranked 20,ranked 25
Compress,440_sigmuid,0.171871033,0.171871033,3,444,0.2,0.171871033,60,60,0.6,60,135,1,1,ranked 27,ranked 8
Compress,460_sigmuid,0.077453228,0.077453228,3,444,0.2,0.077453228,60,60,0.6,60,135,1,1,ranked 11,ranked 19
Compress,480_sigmuid,0.080668208,0.080668208,3,444,0.2,0.080668208,60,60,0.6,60,135,1,1,ranked 21,ranked 29
Compress,500_sigmuid,0.143834706,0.143834706,3,444,0.2,0.143834706,60,60,0.6,60,135,1,1,ranked 24,ranked 14
Compress,520_sigmuid,0.17764298,0.17764298,1,444,0.2,0.17764298,20,20,0.2,20,135,1,1,ranked 22,ranked 24
Compress,540_sigmuid,0.09542438,0.09542438,3,444,0.2,0.09542438,60,60,0.6,60,135,1,1,ranked 28,ranked 12
Compress,560_sigmuid,0.188772767,0.188772767,1,444,0.2,0.188772767,20,20,0.2,20,135,1,1,ranked 15,ranked 28
Compress,580_sigmuid,0.190794398,0.190794398,3,444,0.2,0.190794398,60,60,0.6,60,135,1,1,ranked 14,ranked 26
Compress,600_sigmuid,0.141823255,0.141823255,4,444,0.2,0.141823255,80,80,0.8,80,135,1,1,ranked 23,ranked 17
Compress,20_sigmuid,0.054314555,0.054314555,1,566,0.2,0.054314555,20,20,0.2,20,70,1,3,ranked 2,ranked 1
Compress,40_sigmuid,0.13304305,0.13304305,2,566,0.2,0.13304305,40,40,0.4,40,70,1,3,ranked 1,ranked 2
Compress,60_sigmuid,0,0,5,566,0.2,0,100,100,1,100,70,1,3,ranked 3,ranked 4
Compress,80_sigmuid,0.075988884,0.075988884,1,566,0.2,0.075988884,20,20,0.2,20,70,1,3,ranked 26,ranked 3
Compress,100_sigmuid,0,0,5,566,0.2,0,100,100,1,100,70,1,3,ranked 6,ranked 7
Compress,120_sigmuid,0,0,5,566,0.2,0,100,100,1,100,70,1,3,ranked 13,ranked 6
Compress,140_sigmuid,0,0,5,566,0.2,0,100,100,1,100,70,1,3,ranked 19,ranked 5
Compress,160_sigmuid,0.141305118,0.141305118,1,566,0.2,0.141305118,20,20,0.2,20,70,1,3,ranked 5,ranked 16
Compress,180_sigmuid,0.069489172,0.069489172,2,566,0.2,0.069489172,40,40,0.4,40,70,1,3,ranked 10,ranked 10
Compress,200_sigmuid,0.085506696,0.085506696,1,566,0.2,0.085506696,20,20,0.2,20,70,1,3,ranked 9,ranked 11
Compress,220_sigmuid,0,0,5,566,0.2,0,100,100,1,100,70,1,3,ranked 29,ranked 23
Compress,240_sigmuid,0.115693263,0.115693263,2,566,0.2,0.115693263,40,40,0.4,40,70,1,3,ranked 12,ranked 21
Compress,260_sigmuid,0.137544905,0.137544905,1,566,0.2,0.137544905,20,20,0.2,20,70,1,3,ranked 17,ranked 18
Compress,280_sigmuid,0,0,5,566,0.2,0,100,100,1,100,70,1,3,ranked 8,ranked 15
Compress,300_sigmuid,0,0,5,566,0.2,0,100,100,1,100,70,1,3,ranked 18,ranked 13
Compress,320_sigmuid,0,0,5,566,0.2,0,100,100,1,100,70,1,3,ranked 30,ranked 9
Compress,340_sigmuid,0.179295385,0.179295385,1,566,0.2,0.179295385,20,20,0.2,20,70,1,3,ranked 25,ranked 20
Compress,360_sigmuid,0.081857822,0.081857822,4,566,0.2,0.081857822,80,80,0.8,80,70,1,3,ranked 4,ranked 27
Compress,380_sigmuid,0.073950392,0.073950392,3,566,0.2,0.073950392,60,60,0.6,60,70,1,3,ranked 7,ranked 22
Compress,400_sigmuid,0.14719188,0.14719188,1,566,0.2,0.14719188,20,20,0.2,20,70,1,3,ranked 16,ranked 30
Compress,420_sigmuid,0.053159283,0.053159283,4,566,0.2,0.053159283,80,80,0.8,80,70,1,3,ranked 20,ranked 25
Compress,440_sigmuid,0,0,5,566,0.2,0,100,100,1,100,70,1,3,ranked 27,ranked 8
Compress,460_sigmuid,0.169661053,0.169661053,1,566,0.2,0.169661053,20,20,0.2,20,70,1,3,ranked 11,ranked 19
Compress,480_sigmuid,0.079126868,0.079126868,2,566,0.2,0.079126868,40,40,0.4,40,70,1,3,ranked 21,ranked 29
Compress,500_sigmuid,0.203471906,0.203471906,1,566,0.2,0.203471906,20,20,0.2,20,70,1,3,ranked 24,ranked 14
Compress,520_sigmuid,0.112749731,0.112749731,1,566,0.2,0.112749731,20,20,0.2,20,70,1,3,ranked 22,ranked 24
Compress,540_sigmuid,0.117841074,0.117841074,1,566,0.2,0.117841074,20,20,0.2,20,70,1,3,ranked 28,ranked 12
Compress,560_sigmuid,0.078340935,0.078340935,2,566,0.2,0.078340935,40,40,0.4,40,70,1,3,ranked 15,ranked 28
Compress,580_sigmuid,0.106945541,0.106945541,2,566,0.2,0.106945541,40,40,0.4,40,70,1,3,ranked 14,ranked 26
Compress,600_sigmuid,0,0,5,566,0.2,0,100,100,1,100,70,1,3,ranked 23,ranked 17
Compress,20_sigmuid,0.061456578,0.061456578,0,631,0.2,0.061456578,0,0,0,0,33,1,1,ranked 2,ranked 1
Compress,40_sigmuid,0,0,5,631,0.2,0,100,100,1,100,33,1,1,ranked 1,ranked 2
Compress,60_sigmuid,0,0,5,631,0.2,0,100,100,1,100,33,1,1,ranked 3,ranked 4
Compress,80_sigmuid,0,0,5,631,0.2,0,100,100,1,100,33,1,1,ranked 26,ranked 3
Compress,100_sigmuid,0,0,5,631,0.2,0,100,100,1,100,33,1,1,ranked 6,ranked 7
Compress,120_sigmuid,0,0,5,631,0.2,0,100,100,1,100,33,1,1,ranked 13,ranked 6
Compress,140_sigmuid,0,0,5,631,0.2,0,100,100,1,100,33,1,1,ranked 19,ranked 5
Compress,160_sigmuid,0,0,5,631,0.2,0,100,100,1,100,33,1,1,ranked 5,ranked 16
Compress,180_sigmuid,0,0,5,631,0.2,0,100,100,1,100,33,1,1,ranked 10,ranked 10
Compress,200_sigmuid,0,0,5,631,0.2,0,100,100,1,100,33,1,1,ranked 9,ranked 11
Compress,220_sigmuid,0,0,5,631,0.2,0,100,100,1,100,33,1,1,ranked 29,ranked 23
Compress,240_sigmuid,0,0,5,631,0.2,0,100,100,1,100,33,1,1,ranked 12,ranked 21
Compress,260_sigmuid,0,0,5,631,0.2,0,100,100,1,100,33,1,1,ranked 17,ranked 18
Compress,280_sigmuid,0.051723295,0.051723295,2,631,0.2,0.051723295,40,40,0.4,40,33,1,1,ranked 8,ranked 15
Compress,300_sigmuid,0,0,5,631,0.2,0,100,100,1,100,33,1,1,ranked 18,ranked 13
Compress,320_sigmuid,0,0,5,631,0.2,0,100,100,1,100,33,1,1,ranked 30,ranked 9
Compress,340_sigmuid,0,0,5,631,0.2,0,100,100,1,100,33,1,1,ranked 25,ranked 20
Compress,360_sigmuid,0,0,5,631,0.2,0,100,100,1,100,33,1,1,ranked 4,ranked 27
Compress,380_sigmuid,0,0,5,631,0.2,0,100,100,1,100,33,1,1,ranked 7,ranked 22
Compress,400_sigmuid,0,0,5,631,0.2,0,100,100,1,100,33,1,1,ranked 16,ranked 30
