num of topics,bug id,num of files that changed,num of files that changed no tests,first index exist files,max index exist files,num of files checked exist files,all indexes,first index exist files no tests,max index exist files no tests,num of files checked exist files no tests,all indexes no tests,average similarity
340,LANG-128,2,1,3,5,25,"[5, 3]",4,4,13,[4],0.795
340,LANG-168,3,2,0,6,28,"[2, 0, 6]",0,2,14,"[2, 0]",0.921
340,LANG-171,2,1,5,6,28,"[5, 6]",4,4,14,[4],0.825
340,LANG-219,2,1,0,6,31,"[0, 6]",0,0,14,[0],0.922
340,LANG-224,2,1,0,3,31,"[0, 3]",0,0,14,[0],0.992
360,LANG-96,1,1,0,0,28,[0],0,0,17,[0],0.819
360,LANG-100,2,1,2,3,25,"[2, 3]",2,2,13,[2],0.947
360,LANG-106,2,1,1,6,25,"[1, 6]",1,1,13,[1],0.957
360,LANG-111,2,1,0,5,25,"[0, 5]",0,0,13,[0],0.881
360,LANG-112,2,1,2,4,25,"[2, 4]",2,2,13,[2],0.969
360,LANG-114,2,1,4,5,25,"[4, 5]",3,3,13,[3],0.016
360,LANG-118,2,1,0,1,25,"[1, 0]",0,0,13,[0],0.395
