project,technique,precision,recall,wasted,bug id,original score percentage,f-score,expense,t-score,cost,exam-score,bug index,changed files,changed functions,ranked name MRR,ranked name avg similarity
Cli,180_sigmuid,0.09565143206836792,0.04782571603418396,5,205,0.2,0.06376762137891194,40.0,40.0,0.4,40.0,33,3,3,ranked 9,ranked 14
Cli,200_sigmuid,0.11652808843818518,0.05826404421909259,5,205,0.2,0.07768539229212346,60.0,60.0,0.6,60.0,33,3,3,ranked 13,ranked 5
Cli,220_sigmuid,0.09492808215276309,0.047464041076381545,5,205,0.2,0.06328538810184206,0.0,0.0,0.0,0.0,33,3,3,ranked 30,ranked 8
Cli,240_sigmuid,0.13382927608614015,0.06691463804307007,5,205,0.2,0.08921951739076009,0.0,0.0,0.0,0.0,33,3,3,ranked 24,ranked 11
Cli,260_sigmuid,0.21759054007052694,0.10879527003526347,5,205,0.2,0.14506036004701794,0.0,0.0,0.0,0.0,33,3,3,ranked 23,ranked 10
Cli,280_sigmuid,0.0,0.0,5,205,0.2,0,100,100,1.0,100,33,3,3,ranked 14,ranked 23
Cli,300_sigmuid,0.12054373216643259,0.060271866083216295,5,205,0.2,0.08036248811095506,60.0,60.0,0.6,60.0,33,3,3,ranked 15,ranked 15
Cli,320_sigmuid,0.080134689120758,0.040067344560379,5,205,0.2,0.053423126080505326,0.0,0.0,0.0,0.0,33,3,3,ranked 8,ranked 19
Cli,340_sigmuid,0.07026098298437704,0.03513049149218852,5,205,0.2,0.04684065532291803,20.0,20.0,0.2,20.0,33,3,3,ranked 10,ranked 29
Cli,360_sigmuid,0.06891200511742354,0.03445600255871177,5,205,0.2,0.04594133674494903,0.0,0.0,0.0,0.0,33,3,3,ranked 25,ranked 18
Cli,380_sigmuid,0.08886710733590764,0.04443355366795382,1.5,205,0.2,0.05924473822393842,30.0,30.0,0.3,0.0,33,3,3,ranked 17,ranked 24
Cli,400_sigmuid,0.12853968616946906,0.06426984308473453,5,205,0.2,0.08569312411297937,0.0,0.0,0.0,0.0,33,3,3,ranked 11,ranked 22
Cli,420_sigmuid,0.09954277545168012,0.04977138772584006,5,205,0.2,0.06636185030112007,0.0,0.0,0.0,0.0,33,3,3,ranked 18,ranked 21
Cli,440_sigmuid,0.0,0.0,5,205,0.2,0,100,100,1.0,100,33,3,3,ranked 22,ranked 17
Cli,460_sigmuid,0.03002507281810945,0.015012536409054726,5,205,0.2,0.020016715212072968,60.0,60.0,0.6,60.0,33,3,3,ranked 20,ranked 13
Cli,480_sigmuid,0.0,0.0,5,205,0.2,0,100,100,1.0,100,33,3,3,ranked 3,ranked 27
Cli,500_sigmuid,0.0,0.0,5,205,0.2,0,100,100,1.0,100,33,3,3,ranked 4,ranked 28
Cli,520_sigmuid,0.05580164184268016,0.02790082092134008,5,205,0.2,0.037201094561786774,60.0,60.0,0.6,60.0,33,3,3,ranked 19,ranked 12
Cli,540_sigmuid,0.18009737647490065,0.09004868823745033,5,205,0.2,0.12006491764993377,0.0,0.0,0.0,0.0,33,3,3,ranked 6,ranked 30
Cli,560_sigmuid,0.0,0.0,5,205,0.2,0,100,100,1.0,100,33,3,3,ranked 28,ranked 25
Cli,580_sigmuid,0.17482072036445606,0.08741036018222803,2.0,205,0.2,0.11654714690963737,40.0,40.0,0.4,20.0,33,3,3,ranked 16,ranked 26
Cli,600_sigmuid,0.06319837801048815,0.031599189005244076,5,205,0.2,0.0421322520069921,20.0,20.0,0.2,20.0,33,3,3,ranked 29,ranked 16
Cli,20_sigmuid,0.0,0.0,6,5,0.2,0,100,100,1.0,100,27,9,38,ranked 12,ranked 1
