project,real bug diagnose sim,unreal bug diagnose sim,precision,recall,wasted,bug id,original score percentage,f-score,expense,t-score,cost,exam-score,bug index,changed files,changed functions
Lang,0.8,0,0.976701045,0.976701045,0,96,0.2,0.976701045,0,0,0,0,2,1,1
Lang,0.8,0.1,0.957375552,0.957375552,0,96,0.2,0.957375552,0,0,0,0,2,1,1
Lang,0.8,0.2,0.924241166,0.924241166,0,96,0.2,0.924241166,0,0,0,0,2,1,1
Lang,0.8,0.3,0.871618235,0.871618235,0,96,0.2,0.871618235,0,0,0,0,2,1,1
Lang,0.8,0.4,0.797421002,0.797421002,0,96,0.2,0.797421002,0,0,0,0,2,1,1
Lang,0.8,0.5,0.708626538,0.708626538,0,96,0.2,0.708626538,0,0,0,0,2,1,1
Lang,0.8,0.6,0.621040259,0.621040259,0,96,0.2,0.621040259,0,0,0,0,2,1,1
Lang,0.8,0.7,0.549659995,0.549659995,0,96,0.2,0.549659995,0,0,0,0,2,1,1
Lang,0.8,0.8,0.500000009,0.500000009,0,96,0.2,0.500000009,0,0,0,0,2,1,1
Lang,0.8,0.9,0.469132337,0.469132337,1,96,0.2,0.469132337,50,50,0.5,50,2,1,1
Lang,0.8,1,0.451269752,0.451269752,1,96,0.2,0.451269752,50,50,0.5,50,2,1,1
Lang,0.9,0,0.979354574,0.979354574,0,96,0.2,0.979354574,0,0,0,0,2,1,1
Lang,0.9,0.1,0.962144765,0.962144765,0,96,0.2,0.962144765,0,0,0,0,2,1,1
Lang,0.9,0.2,0.932456198,0.932456198,0,96,0.2,0.932456198,0,0,0,0,2,1,1
Lang,0.9,0.3,0.884828452,0.884828452,0,96,0.2,0.884828452,0,0,0,0,2,1,1
Lang,0.9,0.4,0.816660036,0.816660036,0,96,0.2,0.816660036,0,0,0,0,2,1,1
Lang,0.9,0.5,0.733479936,0.733479936,0,96,0.2,0.733479936,0,0,0,0,2,1,1
Lang,0.9,0.6,0.649671104,0.649671104,0,96,0.2,0.649671104,0,0,0,0,2,1,1
Lang,0.9,0.7,0.580036913,0.580036913,0,96,0.2,0.580036913,0,0,0,0,2,1,1
Lang,0.9,0.8,0.530867677,0.530867677,0,96,0.2,0.530867677,0,0,0,0,2,1,1
Lang,0.9,0.9,0.500000005,0.500000005,0,96,0.2,0.500000005,0,0,0,0,2,1,1
